forward_genome_id	backward_genome_id
WP_159788884	WP_011377921
KPQ31838	WP_011377921
NJL82407	WP_011377921
MBD1195105	WP_011377921
WP_181929200	WP_011377921
NCR56625	WP_011377921
NER30599	WP_011377921
WP_071838453	WP_011377921
ASC70257	WP_011377921
WP_186512636	WP_011377921
WP_172190795	WP_011377921
NET88279	WP_011377921
WP_187705271	WP_011377921
OJJ26575	WP_011377921
MBE9010368	WP_011377921
HAA26563	WP_011377921
WP_155523952	WP_011377921
WP_190582900	WP_011377921
WP_181466338	WP_011377921
WP_007101688	WP_011377921
WP_084176484	WP_011377921
HAJ63308	WP_011377921
WP_194060685	WP_011377921
NMG57975	WP_011377921
NCQ89933	WP_011377921
QOV24033	WP_011377921
WP_190506378	WP_011377921
WP_114082479	WP_011377921
WP_012409412	WP_011377921
WP_194040891	WP_011377921
WP_084613215	WP_011377921
WP_015179605	WP_011377921
WP_083492820	WP_011377921
HBH72082	WP_011377921
NBO28276	WP_011377921
NJQ98949	WP_011377921
HBK96333	WP_011377921
WP_010997035	WP_011377921
AFZ47539	WP_011377921
WP_039201200	WP_011377921
AFY91927	WP_011377921
WP_115161641	WP_011377921
WP_190358896	WP_011377921
NET32004	WP_011377921
MBE67720	WP_011377921
WP_009546512	WP_011377921
WP_190676537	WP_011377921
WP_162398872	WP_011377921
OUW30700	WP_011377921
OON12555	WP_011377921
PZV01170	WP_011377921
WP_121969958	WP_011377921
AYM26978	WP_011377921
MBA4735798	WP_011377921
KRO91620	WP_011377921
TVQ51846	WP_011377921
HAZ49053	WP_011377921
WP_026101981	WP_011377921
WP_190944104	WP_011377921
PLS69629	WP_011377921
WP_193800175	WP_011377921
GCE64137	WP_011377921
WP_190403771	WP_011377921
TGH21315	WP_011377921
OKH20013	WP_011377921
WP_186574935	WP_011377921
WP_155823712	WP_011377921
WP_015145809	WP_011377921
WP_185239853	WP_011377921
WP_190460712	WP_011377921
MAS27326	WP_011377921
CAA9585148	WP_011377921
NJK66323	WP_011377921
KGF72600	WP_011377921
MBE8969441	WP_011377921
WP_009782896	WP_011377921
NJL02633	WP_011377921
TAO04842	WP_011377921
WP_190957323	WP_011377921
MBD0361237	WP_011377921
TAF12239	WP_011377921
NJL61787	WP_011377921
EKQ67609	WP_011377921
WP_190701169	WP_011377921
NES84965	WP_011377921
NEP58662	WP_011377921
OUW28933	WP_011377921
OBQ34385	WP_011377921
WP_190775346	WP_011377921
HFS07344	WP_011377921
WP_072149055	WP_011377921
WP_066343578	WP_011377921
WP_015215371	WP_011377921
WP_171574985	WP_011377921
TVQ48915	WP_011377921
WP_190744503	WP_011377921
PMB05770	WP_011377921
WP_168466438	WP_011377921
OUL36716	WP_011377921
NEO29010	WP_011377921
WP_147068844	WP_011377921
WP_029681835	WP_011377921
WP_051021076	WP_011377921
WP_026098803	WP_011377921
NEP84220	WP_011377921
BAY25068	WP_011377921
NJP08849	WP_011377921
HAC62282	WP_011377921
OWY68149	WP_011377921
WP_065709963	WP_011377921
WP_083374018	WP_011377921
NJL44575	WP_011377921
NDF62995	WP_011377921
TAD84045	WP_011377921
HAN73078	WP_011377921
WP_017307165	WP_011377921
WP_186544199	WP_011377921
CAC5339864	WP_011377921
WP_095723802	WP_011377921
WP_044105889	WP_011377921
WP_193905694	WP_011377921
WP_009633155	WP_011377921
TVQ18273	WP_011377921
WP_168503707	WP_011377921
WP_067095925	WP_011377921
WP_096608161	WP_011377921
WP_190382826	WP_011377921
MBD0334780	WP_011377921
WP_115010072	WP_011377921
WP_006510278	WP_011377921
AKG23081	WP_011377921
MYK91364	WP_011377921
WP_039729279	WP_011377921
TVQ56124	WP_011377921
WP_115022348	WP_011377921
WP_106908241	WP_011377921
WP_096558642	WP_011377921
NEP16118	WP_011377921
WP_069790678	WP_011377921
HIK32939	WP_011377921
WP_028952719	WP_011377921
WP_015225153	WP_011377921
WP_190591917	WP_011377921
OLT63580	WP_011377921
WP_069968065	WP_011377921
VXD11722	WP_011377921
NEN95846	WP_011377921
TAE76538	WP_011377921
WP_186548101	WP_011377921
WP_015147791	WP_011377921
WP_150884652	WP_011377921
WP_190694516	WP_011377921
WP_190719084	WP_011377921
EDX83638	WP_011377921
NJK33823	WP_011377921
BAU12104	WP_011377921
WP_190525472	WP_011377921
NEO25949	WP_011377921
WP_015957322	WP_011377921
NJM66657	WP_011377921
WP_149818896	WP_011377921
PSO95631	WP_011377921
WP_071241654	WP_011377921
HBB35609	WP_011377921
WP_044492640	WP_011377921
NET56114	WP_011377921
WP_067326519	WP_011377921
TRT80591	WP_011377921
CAK24392	WP_011377921
OKH27863	WP_011377921
WP_190805712	WP_011377921
MBE9048089	WP_011377921
WP_193930616	WP_011377921
GDX77160	WP_011377921
KRH98250	WP_011377921
WP_193194289	WP_011377921
WP_191759470	WP_011377921
WP_197671894	WP_011377921
NBD15737	WP_011377921
WP_193960900	WP_011377921
WP_096830623	WP_011377921
NJN58937	WP_011377921
WP_096571704	WP_011377921
WP_193867980	WP_011377921
WP_168490679	WP_011377921
WP_190671055	WP_011377921
WP_008317814	WP_011377921
MBD0388444	WP_011377921
NBO30292	WP_011377921
NES94153	WP_011377921
WP_083305479	WP_011377921
NEO35956	WP_011377921
WP_186570542	WP_011377921
MBE9031527	WP_011377921
WP_073599241	WP_011377921
WP_143175946	WP_011377921
WP_017714345	WP_011377921
HAX78501	WP_011377921
OUC13718	WP_011377921
NJR71493	WP_011377921
WP_096675812	WP_011377921
WP_017289885	WP_011377921
WP_197064967	WP_011377921
PZV16300	WP_011377921
WP_186698915	WP_011377921
MBD1216330	WP_011377921
TGG84150	WP_011377921
OKH52577	WP_011377921
ADN13708	WP_011377921
MBD0394047	WP_011377921
WP_193937088	WP_011377921
OLP17205	WP_011377921
HBL14683	WP_011377921
NEQ49291	WP_011377921
WP_190899131	WP_011377921
MBD0343344	WP_011377921
WP_002767426	WP_011377921
TAD80348	WP_011377921
WP_015180366	WP_011377921
CCI13369	WP_011377921
HIK28895	WP_011377921
WP_194070969	WP_011377921
QNI62419	WP_011377921
NEO80092	WP_011377921
MBF2050917	WP_011377921
AOX04674	WP_011377921
MBF2001670	WP_011377921
WP_190482445	WP_011377921
WP_041427084	WP_011377921
NEN92364	WP_011377921
WP_185592821	WP_011377921
WP_099068323	WP_011377921
GBD53619	WP_011377921
MBD1869665	WP_011377921
WP_115080946	WP_011377921
TAG96168	WP_011377921
WP_002800409	WP_011377921
MBF2057150	WP_011377921
MXZ82237	WP_011377921
WP_186538648	WP_011377921
WP_061432112	WP_011377921
WP_015191646	WP_011377921
WP_012598009	WP_011377921
NES43471	WP_011377921
WP_190661010	WP_011377921
MBI1241152	WP_011377921
WP_180374329	WP_011377921
WP_190443424	WP_011377921
WP_190438411	WP_011377921
WP_015230936	WP_011377921
WP_106369084	WP_011377921
EGJ33364	WP_011377921
EAZ90942	WP_011377921
WP_043997276	WP_011377921
BAG02995	WP_011377921
NJL86045	WP_011377921
WP_148765322	WP_011377921
WP_006528968	WP_011377921
HBK22640	WP_011377921
WP_104546850	WP_011377921
PZV26920	WP_011377921
BBH38226	WP_011377921
OUW42100	WP_011377921
WP_194004511	WP_011377921
MBD1845112	WP_011377921
WP_190652836	WP_011377921
MAD68233	WP_011377921
WP_006618252	WP_011377921
WP_168729179	WP_011377921
NBV69921	WP_011377921
NET06183	WP_011377921
WP_016869394	WP_011377921
HCV29490	WP_011377921
NEP00085	WP_011377921
WP_151694974	WP_011377921
WP_019502459	WP_011377921
WP_185187137	WP_011377921
GAP98076	WP_011377921
WP_162548887	WP_011377921
NEQ80264	WP_011377921
NBW62205	WP_011377921
WP_190555394	WP_011377921
WP_059001964	WP_011377921
ELP56491	WP_011377921
NJL97455	WP_011377921
OCQ90699	WP_011377921
BAQ65195	WP_011377921
WP_096418958	WP_011377921
WP_190681423	WP_011377921
NER20644	WP_011377921
WP_179074907	WP_011377921
WP_068788303	WP_011377921
WP_084202438	WP_011377921
NES70059	WP_011377921
WP_071251373	WP_011377921
TVR06861	WP_011377921
WP_163927352	WP_011377921
MBC6420630	WP_011377921
TRT65978	WP_011377921
WP_012305923	WP_011377921
WP_011377921	WP_011377921
NJN60606	WP_011377921
MBR75492	WP_011377921
NEQ96096	WP_011377921
HCF30405	WP_011377921
WP_067763284	WP_011377921
WP_186482749	WP_011377921
NCQ95857	WP_011377921
OBQ27372	WP_011377921
WP_169243961	WP_011377921
HCA61633	WP_011377921
WP_071455439	WP_011377921
MBF2075285	WP_011377921
NJN37497	WP_011377921
WP_096592855	WP_011377921
PSN11924	WP_011377921
WP_186587561	WP_011377921
1Q6A_A	WP_011377921
NEP43631	WP_011377921
AOY85020	WP_011377921
MBC7514867	WP_011377921
PSR16453	WP_011377921
WP_193941973	WP_011377921
WP_081431403	WP_011377921
WP_079209146	WP_011377921
WP_082906345	WP_011377921
WP_015202682	WP_011377921
WP_026721816	WP_011377921
NCR41681	WP_011377921
WP_190758815	WP_011377921
HFM98280	WP_011377921
WP_006043360	WP_011377921
WP_006623298	WP_011377921
WP_190789743	WP_011377921
WP_193980439	WP_011377921
WP_089126453	WP_011377921
NEQ41131	WP_011377921
WP_190817633	WP_011377921
MBG0742487	WP_011377921
WP_158201533	WP_011377921
WP_006909510	WP_011377921
WP_190562731	WP_011377921
WP_193877050	WP_011377921
MBC6430450	WP_011377921
WP_190459709	WP_011377921
WP_190598461	WP_011377921
NEO71264	WP_011377921
WP_198122817	WP_011377921
WP_038546347	WP_011377921
WP_115131829	WP_011377921
MBF2063698	WP_011377921
WP_190420597	WP_011377921
ABD00049	WP_011377921
MBF2021087	WP_011377921
MBD0306822	WP_011377921
RPF74872	WP_011377921
WP_010315418	WP_011377921
QDA95262	WP_011377921
WP_006105840	WP_011377921
HAG85028	WP_011377921
QFS44211	WP_011377921
WP_179051734	WP_011377921
WP_179066878	WP_011377921
TGG92675	WP_011377921
HBQ98957	WP_011377921
NRB08947	WP_011377921
PNW65535	WP_011377921
WP_190734730	WP_011377921
NET42275	WP_011377921
NEO54648	WP_011377921
WP_190970038	WP_011377921
MBE7383939	WP_011377921
NJM58444	WP_011377921
NDD68286	WP_011377921
NEP13018	WP_011377921
ELS48192	WP_011377921
OKH46869	WP_011377921
WP_144427589	WP_011377921
WP_194015375	WP_011377921
RCL52627	WP_011377921
MBE9168918	WP_011377921
OUT72950	WP_011377921
WP_008200823	WP_011377921
WP_197170571	WP_011377921
WP_124973971	WP_011377921
WP_096585355	WP_011377921
MAH58778	WP_011377921
WP_190437320	WP_011377921
MBN89470	WP_011377921
1V2Z_A	WP_011377921
WP_062431932	WP_011377921
MBD0388846	WP_011377921
WP_186479710	WP_011377921
WP_193920190	WP_011377921
WP_036486165	WP_011377921
WP_066377398	WP_011377921
NES22500	WP_011377921
NCO77498	WP_011377921
WP_028947079	WP_011377921
MBD1832882	WP_011377921
